sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
24266,1063250,Aburria jacutinga,jacutinga,Aves,Em Perigo (EN),,
30964,2025106,Aceratobasis cornicauda,,Invertebrados de Água Doce,Vulnerável (VU),Reserva Biológica do Córrego Grande/Floresta Nacional de Rio Preto,0000.00.02050000.00.0122
30966,2025108,Aceratobasis mourei,,Invertebrados de Água Doce,Em Perigo (EN),Reserva Biológica do Córrego Grande,0000.00.0205
12840,2028135,Acherontides eleonorae,Colêmbolo/Pulga-de-jardim/Snowflea/Springtail,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/APA SERRA DO MAR/PARQUE ESTADUAL INTERVALES,
24268,8285,Acrobatornis fonsecai,Graveteiro/Pink-legged Graveteiro/acrobata,Aves,Vulnerável (VU),Parque Nacional de Boa Nova/Parque Nacional da Serra das Lontras/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU/ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,0000.00.19080000.00.1909
25676,844311,Actinote quadra,Borboleta-palha,Invertebrados Terrestres,Vulnerável (VU),Parque Nacional da Serra dos Órgãos/Parque Nacional do Itatiaia/Área de Proteção Ambiental da Serra da Mantiqueira/Parque Nacional do Caparaó/PARQUE ESTADUAL SERRA DO ROLA MOÇA,0000.00.01520000.00.01840000.00.00110000.00.0160
25677,844280,Actinote zikani,Borboleta/Borboleta-palha,Invertebrados Terrestres,Criticamente em Perigo (CR),PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA,
32369,2024798,Adebrotus lugoi,efemérida/siriruia,Invertebrados de Água Doce,Vulnerável (VU),Reserva Biológica de Sooretama,0000.00.0201
15764,217566,Adelophryne maranguapensis,Rãnzinha-pulga/Shield Frog,Anfíbios,Vulnerável (VU),Parque Nacional de Ubajara,0000.00.0167
24047,2025183,Aegla brevipalma,Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24048,2025184,Aegla camargoi,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
12850,2025186,Aegla cavernicola,Egla,Invertebrados Terrestres,Criticamente em Perigo (CR),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,
24050,2025187,Aegla franca,Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24053,2025189,Aegla grisella,Caranguejo de rio/Egla,Invertebrados de Água Doce,Vulnerável (VU),,
24054,2025190,Aegla inconspicua,Egla,Invertebrados de Água Doce,Vulnerável (VU),ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,
24055,2025191,Aegla inermis,Caranguejo de rio/Egla,Invertebrados de Água Doce,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,
24056,2025192,Aegla itacolomiensis,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24059,2025194,Aegla lata,Caranguejo de rio/Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24061,2025195,Aegla leachi,Egla,Invertebrados de Água Doce,Vulnerável (VU),,
12852,2025196,Aegla leptochela,Egla/egla,Invertebrados Terrestres,Criticamente em Perigo (CR),,
24062,2025197,Aegla leptodactyla,Egla,Invertebrados de Água Doce,Vulnerável (VU),PARQUE ESTADUAL DO TAINHAS,
24063,2025198,Aegla ligulata,Egla,Invertebrados de Água Doce,Vulnerável (VU),Floresta Nacional de São Francisco de Paula/Parque Nacional da Serra Geral/ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL/ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,0000.00.01330000.00.0153
24066,2025200,Aegla manuinflata,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
12854,2025202,Aegla microphthalma,Egla/egla,Invertebrados Terrestres,Criticamente em Perigo (CR),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,
24070,2025204,Aegla oblata,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24071,2025205,Aegla obstipa,Caranguejo de rio/Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24079,2025210,Aegla perobae,Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí,
24080,2025211,Aegla plana,Egla,Invertebrados de Água Doce,Em Perigo (EN),Floresta Nacional de Canela/ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL,0000.00.0087
24044,2025213,Aegla pomerana,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24046,2025215,Aegla renana,Caranguejo de rio/Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24052,2025216,Aegla rossiana,Egla,Invertebrados de Água Doce,Em Perigo (EN),ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL,
24068,2025220,Aegla spinipalma,Egla,Invertebrados de Água Doce,Vulnerável (VU),,
24072,2025221,Aegla spinosa,Egla,Invertebrados de Água Doce,Vulnerável (VU),,
24075,2025222,Aegla strinatii,Egla,Invertebrados de Água Doce,Em Perigo (EN),APA QUILOMBOS DO MéDIO RIBEIRA/PARQUE ESTADUAL CAVERNA DO DIABO,
24082,2025224,Aegla violacea,Caranguejo de rio/Egla,Invertebrados de Água Doce,Em Perigo (EN),,
27252,176936,Aguarunichthys tocantinsensis,Bagre/Bagre pedra/Jauzinho do canal,Peixes Continentais,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL,
23134,2023573,Akodon mystax,Caparaó Grass Mouse/Rato-do-chão do Caparaó/Schnurrbart-Feldmaus,Mamíferos,Vulnerável (VU),Parque Nacional do Caparaó,0000.00.0160
11687,8291,Alectrurus tricolor,Cock-tailed Tyrant/Yetapá Chico/galito,Aves,Vulnerável (VU),Floresta Nacional de Ipanema/Parque Nacional de Ilha Grande/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional das Emas/Floresta Nacional de Brasília/Parque Nacional da Chapada dos Veadeiros/Parque Nacional da Serra da Canastra/Área de Proteção Ambiental da Bacia do Rio Descoberto/Área de Proteção Ambiental do Planalto Central/Parque Nacional de Brasília/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/ESTAçãO ECOLóGICA DE SANTA BáRBARA/ESTAÇÃO ECOLÓGICA DO JARDIM BOTÂNICO/ESTAÇÃO ECOLÓGICA DE ITIRAPINA/APA CORUMBATAÍ/BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ/ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES/ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO/APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO,0000.00.00940000.00.01610000.00.00250000.00.01550000.00.00860000.00.01390000.00.01440000.00.00030000.00.00230000.00.0159
36082,1218787,Aleuron prominens,Mariposa/Mariposa-esfinge,,Vulnerável (VU),,
36083,1218792,Aleuron ypanemae,Mariposa/Mariposa-esfinge,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL DA SERRA DO MAR,
19141,1545589,Allobates brunneus,Chapada Rocket Frog/Chupada Rocket Frog,Anfíbios,Criticamente em Perigo (CR),ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,
19160,1835512,Allobates goianus,Goias Rocket Frog,Anfíbios,Em Perigo (EN),Floresta Nacional de Silvânia/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,0000.00.0110
21785,1545595,Allobates olfersioides,Alagoas Rocket Frog/Guanabara Rocket Frog/Linhares Rocket Frog/Rio Rocket Frog,Anfíbios,Vulnerável (VU),Parque Nacional da Serra das Lontras/Parque Nacional Descobrimento/Parque Nacional do Pau Brasil/Refúgio de Vida Silvestre de Una/Reserva Biológica de Sooretama/Reserva Biológica do Tinguá/Reserva Biológica de Saltinho/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU/ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA/APA DA ORLA MARíTIMA DA BAíA DE SEPETIBA/ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ/AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU/ÁREA DE PROTEÇÃO AMBIENTAL DE PRAIA MOLE/ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA/ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE/ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA/ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,0000.00.19090000.00.01710000.00.01760000.00.18800000.00.02010000.00.02120000.00.0198
9426,597476,Alopias superciliosus,Tubarão-raposa/tubarão-rabudo/tubarão-raposa/tubarão-raposa-olhudo,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Monumento Natural do Arquipelago de Trindade e Martim Vaz e Monte Columbia,0000.00.00150000.00.3642
9431,597475,Alopias vulpinus,Tubarão-raposa/tubarão-rabudo/tubarão-raposa/tubarão-saltador,Peixes Marinhos,Vulnerável (VU),Parque Nacional Marinho dos Abrolhos/Área de Proteção Ambiental da Baleia Franca/APA MARINHA DO LITORAL CENTRO,0000.00.01850000.00.0006
30203,9818,Alouatta belzebul,Capelão/Guariba/Guariba-de-mãos-ruivas/Górgo/Mono-aullador/Red-handed Howler Monkey/Red-handed Howling Monkey,Mamíferos,Vulnerável (VU),Reserva Biológica do Gurupi/Reserva Biológica do Lago Piratuba/Reserva Biológica do Tapirapé/Área de Proteção Ambiental do Igarapé Gelado/Reserva Extrativista Maracanã/Reserva Extrativista Quilombo Flexal/Floresta Nacional de Carajás/Floresta Nacional de Caxiuanã/Floresta Nacional de Tapirape-Aquiri/Estação Ecológica de Murici/Reserva Biológica Guaribas/Reserva Extrativista Marinha da Lagoa do Jequiá/Parque Nacional do Araguaia/Reserva Extrativista Rio Xingu/Estação Ecológica da Terra do Meio/ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ/ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI/RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PUCURUÍ - ARARÃO/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES/ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ/ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU/ÁREA DE PROTEÇÃO AMBIENTAL DE UPAON-AÇU/MIRITIBA/ALTO PREGUIÇAS,0000.00.02070000.00.02090000.00.02110000.00.00220000.00.02270000.00.15200000.00.00880000.00.00890000.00.01240000.00.00590000.00.01960000.00.02460000.00.01680000.00.16350000.00.0047
30205,2023558,Alouatta discolor,Guariba-de-mãos-ruivas/Red-handed Howling Monkey/Spix’s Red-handed Howler Monkey/guariba-de-mãos-vermelhas,Mamíferos,Vulnerável (VU),Floresta Nacional do Jamanxim/Floresta Nacional do Trairão/Parque Nacional do Jamanxim/Parque Nacional do Rio Novo/Área de Proteção Ambiental do Tapajós/Reserva Extrativista Rio Iriri/Reserva Extrativista Riozinho do Anfrísio/Reserva Extrativista Tapajós-Arapiuns/Reserva Extrativista Verde para Sempre/Floresta Nacional de Altamira/Floresta Nacional de Itaituba I/Floresta Nacional de Itaituba II/Floresta Nacional de Tapajós/Estação Ecológica da Terra do Meio,0000.00.02660000.00.02650000.00.02670000.00.02640000.00.02680000.00.02800000.00.02580000.00.02590000.00.02600000.00.00830000.00.00950000.00.00960000.00.01230000.00.0047
