Position,Countries,Global Score,Score pol.,Score eco.,Score leg.,Score soc.,Score security,Dif. position 2021
1,Norway,92.65,94.89,90.38,92.23,93.71,92.03,0
2,Denmark,90.27,94.34,83.67,89.18,91.17,92.97,2
3,Sweden,88.84,91.96,87.66,90.27,90.18,84.14,0
4,Estonia,88.83,91.11,81.97,87.87,90.00,93.20,11
5,Finland,88.42,90.40,82.03,86.64,90.77,92.26,-3
6,Ireland,88.30,89.24,79.08,85.09,92.50,95.58,6
7,Portugal,87.07,91.86,77.41,84.21,93.14,88.73,2
8,Costa Rica,85.92,81.62,72.96,87.72,92.50,94.78,-3
9,Lithuania,84.14,87.01,72.16,84.46,89.71,87.37,19
10,Liechtenstein,84.03,80.36,68.78,84.74,89.80,96.46,13
11,New Zealand,83.54,90.15,75.26,74.78,89.75,87.76,-3
12,Jamaica,83.35,74.85,71.94,82.46,95.00,92.52,-5
13,Seychelles,83.33,80.45,69.13,85.31,90.25,91.50,39
14,Switzerland,82.72,90.00,68.37,80.99,88.33,85.92,-4
15,Iceland,82.69,86.21,65.56,82.68,87.50,91.50,1
16,Germany,82.04,87.03,80.07,87.08,89.47,66.58,-3
17,Timor-Leste,81.89,85.45,68.71,85.96,75.67,93.65,54
18,Namibia,81.84,72.97,69.80,82.98,91.60,91.84,6
19,Canada,81.74,82.27,71.17,80.26,92.00,82.99,-5
20,Czech Republic,80.54,79.66,61.56,84.21,88.44,88.81,20
21,Luxembourg,79.81,82.94,66.33,72.93,88.71,88.14,-1
22,Latvia,79.17,78.96,64.58,80.89,87.36,84.06,0
23,Belgium,78.86,75.03,71.22,79.30,87.40,81.35,-12
24,UK,78.71,80.57,72.75,76.63,84.29,79.33,9
25,Trinidad and Tobago,78.68,73.94,67.86,74.56,84.50,92.52,6
26,France,78.53,79.85,67.86,86.51,89.38,69.05,8
27,Slovakia,78.37,71.44,67.98,82.02,86.38,84.01,8
28,Netherlands,77.93,86.30,82.86,87.28,86.10,47.09,-22
29,Argentina,77.28,76.36,51.53,90.68,85.75,82.06,40
30,Dominican Republic,76.90,71.52,62.24,85.96,92.00,72.79,20
31,Austria,76.74,77.82,61.43,78.95,81.20,84.29,-14
32,Spain,76.71,72.73,63.38,82.16,81.89,83.40,-3
33,Bhutan,76.46,78.79,62.24,70.39,77.00,93.88,32
34,Guyana,76.41,70.06,67.76,75.61,81.40,87.21,17
35,South Africa,75.56,75.96,62.59,84.36,82.50,72.39,-3
36,Cabo Verde,75.37,72.55,62.76,77.98,75.40,88.16,-9
37,Ivory Coast,74.46,74.89,58.45,75.94,81.43,81.60,29
38,Taiwan,74.08,74.78,51.88,79.01,77.69,87.02,5
39,Australia,73.77,77.17,63.44,64.18,84.17,79.88,-14
40,Moldova,73.47,70.15,47.83,83.00,85.88,80.48,49
41,Burkina Faso,73.12,78.99,67.69,75.58,87.83,55.52,-4
42,USA,72.74,72.99,59.33,77.32,81.43,72.63,2
43,South Korea,72.11,71.15,55.31,72.81,79.80,81.50,-1
44,Uruguay,72.03,70.30,49.32,83.63,72.33,84.58,-26
45,Samoa,71.39,61.82,56.12,64.91,85.00,89.12,-24
46,Sierra Leone,71.03,73.71,50.38,78.40,77.50,75.14,29
47,Belize,70.67,70.00,52.04,63.60,82.00,85.71,6
48,Croatia,70.42,68.26,50.46,79.19,76.09,78.08,8
49,Tonga,69.74,69.70,53.06,66.67,69.50,89.80,-3
50,Gambia,69.25,71.11,51.36,67.69,81.33,74.74,35
51,Armenia,68.97,66.26,44.44,77.88,76.33,79.91,12
52,Suriname,68.95,67.88,55.10,62.28,84.00,75.51,-33
53,Andorra,68.79,68.12,50.41,69.12,68.80,87.48,-14
54,Slovenia,68.54,59.32,47.70,79.11,79.94,76.61,-18
55,OECS,68.49,62.91,48.37,68.25,79.80,83.13,-10
56,Romania,68.46,66.77,46.77,76.46,81.67,70.63,-8
57,North Macedonia,68.44,66.16,43.71,81.29,73.17,77.85,33
58,Italy,68.16,65.89,47.52,73.93,80.00,73.48,-17
59,Niger,67.80,62.30,46.73,71.75,76.50,81.69,0
60,Ghana,67.43,66.61,47.22,81.42,79.64,62.25,-30
61,Kosovo,67.00,64.34,45.24,80.85,74.33,70.26,17
62,Papua New Guinea,66.66,62.42,45.24,66.08,81.33,78.23,-15
63,Montenegro,66.54,62.51,47.67,77.19,71.00,74.33,41
64,Mauritius,66.07,55.58,47.81,64.16,80.29,82.50,-3
65,Cyprus,65.97,61.21,42.09,74.56,65.75,86.25,-39
66,Poland,65.64,50.95,57.41,68.95,82.53,68.33,-2
67,Bosnia-Herzegovina,65.64,61.56,40.23,79.57,71.86,74.95,-9
68,Ecuador,64.61,60.10,55.44,67.98,69.50,70.03,28
69,Kenya,64.59,62.42,46.33,72.28,78.00,63.92,33
70,Haiti,64.55,59.60,50.34,72.22,80.67,59.91,17
71,Japan,64.37,54.66,53.70,66.23,67.06,80.19,-4
72,Kyrgyzstan,64.25,59.90,48.64,68.86,69.00,74.83,7
73,Senegal,63.07,59.31,42.13,66.67,72.43,74.84,-24
74,Panama,62.78,54.24,47.45,64.04,74.00,74.15,3
75,Liberia,62.77,55.50,32.80,74.69,82.57,68.30,23
76,Nepal,62.67,59.80,40.14,66.08,77.33,69.99,30
77,Peru,61.75,66.97,41.84,70.61,63.00,66.35,14
78,Malta,61.55,46.82,41.33,67.98,74.75,76.87,3
79,Serbia,61.51,47.47,34.92,79.92,74.22,71.03,14
80,Malawi,61.40,55.76,38.44,78.07,67.67,67.08,-18
81,Northern Cyprus,61.08,56.48,38.78,69.82,60.20,80.14,-5
82,Chile,60.61,65.03,42.86,67.63,72.40,55.15,-28
83,Comoros,60.16,56.36,50.26,59.98,75.63,58.56,1
84,Guinea,59.82,59.26,47.05,71.15,70.67,50.96,25
85,Hungary,59.80,47.07,32.31,67.25,67.33,85.03,7
86,Israel,59.62,65.15,55.10,53.51,77.75,46.61,0
87,Maldives,59.55,62.27,38.27,67.11,55.00,75.12,-15
88,Lesotho,59.39,57.37,40.14,57.31,74.00,68.11,0
89,Georgia,59.30,52.42,46.43,80.79,75.50,41.34,-29
90,Mongolia,59.17,55.48,36.18,60.37,69.55,74.27,-22
91,Bulgaria,59.12,54.95,30.10,68.71,66.83,75.02,21
92,Guinea Bissau,58.79,51.15,50.82,68.42,62.40,61.18,3
93,Congo-Brazzaville,58.64,58.06,48.57,64.21,62.60,59.76,25
94,Tunisia,58.49,61.82,41.84,67.19,70.20,51.42,-21
95,Botswana,58.49,56.97,37.24,56.36,69.75,72.11,-57
96,Paraguay,58.36,54.24,31.12,75.44,65.00,65.99,4
97,Mauritania,58.10,55.15,35.13,64.29,64.29,71.67,-3
98,Madagascar,58.02,52.58,35.08,64.47,64.50,73.47,-41
99,Angola,57.17,52.83,35.03,61.11,73.00,63.87,4
100,Togo,57.17,57.52,41.73,61.93,69.50,55.15,-26
101,Central African Republic,56.96,51.21,41.07,62.06,68.25,62.19,25
102,Fiji,56.91,44.85,39.80,58.33,64.00,77.55,-47
103,Albania,56.41,50.55,29.39,68.77,66.60,66.75,-20
104,Chad,56.18,55.88,43.27,60.35,63.20,58.21,19
105,Gabon,56.00,48.38,39.46,56.14,65.50,70.52,12
106,Ukraine,55.76,61.21,42.86,79.45,76.43,18.84,-9
107,Burundi,55.74,50.03,44.67,59.55,52.78,71.66,40
108,Greece,55.52,60.50,38.13,69.54,65.36,44.10,-38
109,Zambia,55.40,52.35,37.76,58.33,64.00,64.55,6
110,Brazil,55.36,51.62,37.59,69.74,70.00,47.86,1
111,Mali,54.48,35.15,42.60,74.34,78.50,41.81,-12
112,El Salvador,54.09,42.94,39.07,63.22,62.86,62.37,-30
113,Malaysia,51.55,46.52,42.60,40.13,56.00,72.48,6
114,Ethiopia,50.53,50.65,45.77,63.66,57.29,35.29,-13
115,Thailand,50.15,58.99,45.24,47.37,53.67,45.50,22
116,Mozambique,49.89,46.06,40.31,61.62,47.25,54.21,-8
117,Indonesia,49.27,45.91,41.33,55.70,66.00,37.42,-4
118,Cameroon,49.10,48.05,35.71,56.89,67.57,37.25,17
119,Qatar,49.03,59.70,46.94,43.86,42.50,52.17,9
120,Jordan,48.66,40.00,32.65,41.23,66.00,63.40,9
121,Benin,48.39,47.73,28.19,57.46,55.50,53.10,-7
122,Kazakhstan,48.28,43.52,29.80,51.93,52.30,63.85,33
123,Tanzania,48.28,43.88,32.65,45.09,59.20,60.56,1
124,Guatemala,47.94,46.06,33.67,68.86,59.00,32.12,-8
125,Democratic Republic of Congo,47.66,51.33,41.43,60.88,60.30,24.34,24
126,Bolivia,47.58,44.55,33.67,58.77,45.00,55.89,-16
127,Mexico,47.57,58.18,43.37,65.79,59.50,11.02,16
128,South Sudan,47.06,40.48,36.73,52.11,50.60,55.37,11
129,Nigeria,46.79,45.15,36.39,53.80,69.83,28.75,-9
130,Lebanon,46.58,50.91,38.27,50.22,60.50,33.02,-23
131,Eswatini,46.42,41.31,35.03,43.86,50.50,61.40,10
132,Uganda,46.35,44.70,36.99,60.96,56.00,33.09,-7
133,Uzbekistan,45.74,44.75,35.71,50.88,53.33,44.03,24
134,Algeria,45.53,41.21,32.40,54.17,55.88,44.02,12
135,Morocco / Western Sahara,45.42,51.67,28.83,55.81,56.00,34.82,1
136,Rwanda,45.18,42.12,31.89,57.89,55.25,38.76,20
137,Zimbabwe,44.94,40.30,32.40,54.17,54.50,43.34,-7
138,UAE,44.46,45.45,36.73,32.02,50.50,57.59,-7
139,Singapore,44.23,39.09,29.21,34.21,49.25,69.39,21
140,Somalia,44.01,51.03,41.22,47.72,61.80,18.27,21
141,Equatorial Guinea,43.96,42.73,24.49,44.30,44.25,64.04,23
142,Cambodia,43.48,42.42,27.96,49.65,62.40,34.96,2
143,Libya,43.16,54.42,34.90,44.91,45.00,36.58,22
144,Brunei,42.53,40.61,30.61,28.51,34.00,78.91,10
145,Colombia,42.43,44.70,32.27,60.42,50.38,24.40,-11
146,Sri Lanka,42.13,40.91,27.04,53.07,48.25,41.37,-19
147,Philippines,41.84,44.44,23.13,54.97,61.83,24.83,-9
148,Hong Kong,41.64,40.50,35.90,42.58,57.45,31.78,-68
149,Turkey,41.25,38.38,27.55,52.92,55.00,32.37,4
150,India,41.00,40.76,30.36,57.02,56.25,20.61,-8
151,Sudan,40.96,47.05,29.97,41.45,51.00,35.35,8
152,Tajikistan,40.26,33.79,29.85,48.68,46.00,42.96,10
153,Belarus,39.62,32.93,48.75,37.23,60.33,18.85,5
154,Azerbaijan,39.40,37.66,23.76,48.25,58.86,28.48,13
155,Russia,38.82,36.36,34.84,44.61,51.29,27.00,-5
156,Afghanistan,38.27,44.65,43.88,42.54,43.33,16.96,-34
157,Pakistan,37.99,39.57,31.92,53.26,47.43,17.75,-12
158,Kuwait,37.87,32.73,19.39,36.84,27.00,73.41,-53
159,Venezuela,37.78,33.70,31.73,44.74,47.50,31.22,-11
160,Nicaragua,37.09,37.45,38.78,31.75,49.80,27.68,-39
161,Laos,36.64,36.06,20.92,31.58,44.00,50.64,11
162,Bangladesh,36.63,42.12,32.48,44.15,48.50,15.88,-10
163,Oman,35.99,32.73,23.98,18.42,45.00,59.82,-30
164,Djibouti,35.75,32.73,16.12,37.72,37.60,54.56,12
165,Honduras,34.61,33.33,31.63,36.84,31.00,40.22,-14
166,Saudi Arabia,33.71,37.27,33.67,22.37,36.50,38.75,4
167,Bahrain,30.97,35.15,21.43,28.95,39.67,29.65,1
168,Egypt,30.23,30.91,23.47,34.87,44.25,17.64,-2
169,Yemen,29.14,33.03,27.55,38.60,35.00,11.54,0
170,Palestine,28.98,35.45,15.82,36.40,36.50,20.74,-38
171,Syria,28.94,33.51,27.62,33.58,36.57,13.39,2
172,Iraq,28.59,34.14,20.07,29.82,40.67,18.27,-9
173,Cuba,27.32,27.27,39.80,15.79,27.50,26.24,-2
174,Vietnam,26.11,32.32,18.71,27.49,34.67,17.37,1
175,China,25.17,27.45,26.02,23.25,33.30,15.84,2
176,Myanmar,25.03,40.40,29.25,20.18,30.67,4.63,-36
177,Turkmenistan,25.01,25.00,11.73,29.61,23.00,35.69,1
178,Iran,23.22,30.71,21.32,26.71,23.78,13.61,-4
179,Eritrea,19.62,22.22,19.73,25.15,19.67,11.36,1
180,North Korea,13.92,22.42,0.00,22.81,12.00,12.38,-1
